mode,seed,group,samples,macro_f1,offside_support
null,20260715,team_matches_6+,96891,0.6452513581727659,253
null,20260715,player_history_available,96891,0.6452513581727659,253
null,20260716,team_matches_6+,96891,0.6487980710344431,253
null,20260716,player_history_available,96891,0.6487980710344431,253
null,20260717,team_matches_6+,96891,0.644704202059353,253
null,20260717,player_history_available,96891,0.644704202059353,253
team,20260715,team_matches_6+,96891,0.6444541418330856,253
team,20260715,player_history_available,96891,0.6444541418330856,253
team,20260716,team_matches_6+,96891,0.6460601187785233,253
team,20260716,player_history_available,96891,0.6460601187785233,253
team,20260717,team_matches_6+,96891,0.6465008635366718,253
team,20260717,player_history_available,96891,0.6465008635366718,253
team_player,20260715,team_matches_6+,96891,0.64468030219999,253
team_player,20260715,player_history_available,96891,0.64468030219999,253
team_player,20260716,team_matches_6+,96891,0.6469783061048527,253
team_player,20260716,player_history_available,96891,0.6469783061048527,253
team_player,20260717,team_matches_6+,96891,0.6432012162349882,253
team_player,20260717,player_history_available,96891,0.6432012162349882,253
shuffled_player,20260715,team_matches_6+,96891,0.6445663967573609,253
shuffled_player,20260715,player_history_available,96891,0.6445663967573609,253
shuffled_player,20260716,team_matches_6+,96891,0.6471612717796533,253
shuffled_player,20260716,player_history_available,96891,0.6471612717796533,253
shuffled_player,20260717,team_matches_6+,96891,0.6429484462681205,253
shuffled_player,20260717,player_history_available,96891,0.6429484462681205,253
