mode,anchor,age,head,mean_mass,std_seed,pair_mean_mass,bias_mean,samples,pairs
base,Pass+CONTROL,age_1_5,0,0.21985326606778946,0.10314357245503548,0.21982055901857755,0.0,38364,191477
base,Pass+CONTROL,age_1_5,1,0.21641974318393983,0.025933072633939968,0.21640642713934063,0.0,38364,191477
base,Pass+CONTROL,age_1_5,2,0.18235466375752418,0.01633948044413957,0.1823846150558527,0.0,38364,191477
base,Pass+CONTROL,age_1_5,3,0.20725016946682928,0.07946571047845209,0.20724652422353596,0.0,38364,191477
base,Pass+CONTROL,age_1_5,mean,0.2064694606190207,0.01531905896317722,0.20646453135932674,0.0,38364,191477
base,Pass+CONTROL,age_6_20,0,0.19403862818830642,0.056440839343632775,0.1939814629044132,0.0,38253,571171
base,Pass+CONTROL,age_6_20,1,0.20869353688980552,0.021773671022295386,0.2087040106154625,0.0,38253,571171
base,Pass+CONTROL,age_6_20,2,0.18253011154970622,0.022725819073620607,0.18252457244623232,0.0,38253,571171
base,Pass+CONTROL,age_6_20,3,0.18689021083255627,0.042706864503768635,0.18686924827869414,0.0,38253,571171
base,Pass+CONTROL,age_6_20,mean,0.19303812186509361,0.02547933457080418,0.19301982356120054,0.0,38253,571171
base,Pass+CONTROL,age_gt20,0,0.17655664717008093,0.07142472052957366,0.17630136519954545,0.0,37915,2157327
base,Pass+CONTROL,age_gt20,1,0.20449651039985525,0.026952550371612868,0.20445725335728207,0.0,37915,2157327
base,Pass+CONTROL,age_gt20,2,0.17449125753843298,0.026627844399881726,0.17422188288951398,0.0,37915,2157327
base,Pass+CONTROL,age_gt20,3,0.1787534552834358,0.07327236787642614,0.1788186543592427,0.0,37915,2157327
base,Pass+CONTROL,age_gt20,mean,0.18357446759795124,0.037964189688330395,0.18344978895139608,0.0,37915,2157327
base,Pass+CONTROL,ends_at_anchor,0,0.26121687829492984,0.29898358472321745,0.26121687829492984,0.0,38348,38348
base,Pass+CONTROL,ends_at_anchor,1,0.15606327363722142,0.07514583632643639,0.15606327363722142,0.0,38348,38348
base,Pass+CONTROL,ends_at_anchor,2,0.11600703469110923,0.12182654067084167,0.11600703469110923,0.0,38348,38348
base,Pass+CONTROL,ends_at_anchor,3,0.1905008744415677,0.15806620507362507,0.1905008744415677,0.0,38348,38348
base,Pass+CONTROL,ends_at_anchor,mean,0.18094701526620705,0.05464739056224068,0.18094701526620705,0.0,38348,38348
base,other,age_1_5,0,0.22263599805037695,0.052455680412194575,0.22263672246451247,0.0,58413,291553
base,other,age_1_5,1,0.211149150335877,0.05412570843757752,0.21118484717878383,0.0,58413,291553
base,other,age_1_5,2,0.19321693978804744,0.014626947560595838,0.19322860803262845,0.0,58413,291553
base,other,age_1_5,3,0.18610392033604706,0.03286175942515212,0.18610935151187705,0.0,58413,291553
base,other,age_1_5,mean,0.2032765021275871,0.01607964725922337,0.20328988229695044,0.0,58413,291553
base,other,age_6_20,0,0.20301927291361932,0.03988335093228487,0.20296818909041905,0.0,58239,869369
base,other,age_6_20,1,0.20600377633518296,0.035265760005634805,0.20600981251368142,0.0,58239,869369
base,other,age_6_20,2,0.18788400155450494,0.02992602711509614,0.18783847727641492,0.0,58239,869369
base,other,age_6_20,3,0.18443979239945593,0.04233329068738076,0.18445446901423065,0.0,58239,869369
base,other,age_6_20,mean,0.1953367108006908,0.022676052978502885,0.1953177369736865,0.0,58239,869369
base,other,age_gt20,0,0.18596152442415845,0.05815687323030828,0.1858320197556932,0.0,57722,3292092
base,other,age_gt20,1,0.20450104308574255,0.031947050721918224,0.20449710189961942,0.0,57722,3292092
base,other,age_gt20,2,0.18056866947625658,0.0320674828328638,0.18035784829717819,0.0,57722,3292092
base,other,age_gt20,3,0.18045181685023892,0.06825875022015414,0.18049643355883815,0.0,57722,3292092
base,other,age_gt20,mean,0.18787076345909912,0.03296054983549513,0.18779585087783224,0.0,57722,3292092
base,other,ends_at_anchor,0,0.30457004084634426,0.04933693042262658,0.30457004084634426,0.0,58429,58429
base,other,ends_at_anchor,1,0.2756979422811152,0.1257116762223899,0.2756979422811152,0.0,58429,58429
base,other,ends_at_anchor,2,0.2493119486715886,0.058826586162245405,0.2493119486715886,0.0,58429,58429
base,other,ends_at_anchor,3,0.20231953029869443,0.08175869318231982,0.20231953029869443,0.0,58429,58429
base,other,ends_at_anchor,mean,0.2579748655244356,0.021896070710343902,0.2579748655244356,0.0,58429,58429
constant,Pass+CONTROL,age_1_5,0,0.2089513226355798,0.09655042940381682,0.208937059459438,-0.11532442768414815,38364,191477
constant,Pass+CONTROL,age_1_5,1,0.202485380252065,0.034828465155054895,0.20247796472944887,-0.14674612631400427,38364,191477
constant,Pass+CONTROL,age_1_5,2,0.18621381843237103,0.02008239547128901,0.18623379932647385,-0.0883787473042806,38364,191477
constant,Pass+CONTROL,age_1_5,3,0.19214897496358305,0.09382513106182021,0.19213005204256284,-0.13259382049242655,38364,191477
constant,Pass+CONTROL,age_1_5,mean,0.19744987407089973,0.00859298377759187,0.1974447188894809,-0.1207607804487149,38364,191477
constant,Pass+CONTROL,age_6_20,0,0.188542075946007,0.06104834222564255,0.1884965778236328,-0.11532442768414815,38253,571171
constant,Pass+CONTROL,age_6_20,1,0.1939644839459446,0.03831597690561297,0.1939605015692276,-0.14674612631400427,38253,571171
constant,Pass+CONTROL,age_6_20,2,0.17481974146993806,0.00785697609701034,0.17479649303401876,-0.0883787473042806,38253,571171
constant,Pass+CONTROL,age_6_20,3,0.1649788104443066,0.03131399709988371,0.16493046500440045,-0.13259382049242655,38253,571171
constant,Pass+CONTROL,age_6_20,mean,0.18057627795154907,0.01934056116201234,0.18054600935781986,-0.1207607804487149,38253,571171
constant,Pass+CONTROL,age_gt20,0,0.17360379854093502,0.07990626010925056,0.17336435783031315,-0.11532442768414815,37915,2157327
constant,Pass+CONTROL,age_gt20,1,0.18918381718460275,0.043818904923282144,0.189097292227652,-0.14674612631400427,37915,2157327
constant,Pass+CONTROL,age_gt20,2,0.16262605505954744,0.003960211420767385,0.16235521563868918,-0.0883787473042806,37915,2157327
