split,mode,seed,group,samples,sample_share,error_rate,forward_errors,reverse_errors,forward_given_duel_others
validation,base,20260715,all,96891,1.0,0.22081514278931996,13045,2948,0.3769468604617563
validation,base,20260715,Pass+CONTROL,38462,0.396961534095014,0.20131558421298945,6176,870,0.7040583675330597
validation,base,20260715,other,58429,0.603038465904986,0.23365109791370722,6869,2078,0.2658796206696342
validation,base,20260716,all,96891,1.0,0.2187922510862722,13387,2490,0.38682925419712777
validation,base,20260716,Pass+CONTROL,38462,0.396961534095014,0.2025375695491654,6383,716,0.72765617875057
validation,base,20260716,other,58429,0.603038465904986,0.229492204213661,7004,1774,0.2711050899941939
validation,base,20260717,all,96891,1.0,0.2230650937651588,13083,2482,0.37804490421013087
validation,base,20260717,Pass+CONTROL,38462,0.396961534095014,0.20199157610108678,6217,870,0.7087323301413588
validation,base,20260717,other,58429,0.603038465904986,0.23693713738041042,6866,1612,0.2657634991290884
validation,constant,20260715,all,96891,1.0,0.22174402163255616,13049,2982,0.3770624440142168
validation,constant,20260715,Pass+CONTROL,38462,0.396961534095014,0.20206957516509802,6112,950,0.6967624259005928
validation,constant,20260715,other,58429,0.603038465904986,0.23469510003594105,6937,2032,0.26851170892200504
validation,constant,20260716,all,96891,1.0,0.21634620346575018,13355,2503,0.38590458577744385
validation,constant,20260716,Pass+CONTROL,38462,0.396961534095014,0.20313556237325153,6327,792,0.7212722298221614
validation,constant,20260716,other,58429,0.603038465904986,0.22504235910250048,7028,1711,0.2720340623185601
validation,constant,20260717,all,96891,1.0,0.22297220588083516,13000,2552,0.37564654549657583
validation,constant,20260717,Pass+CONTROL,38462,0.396961534095014,0.2019395767250793,6224,870,0.70953032375741
validation,constant,20260717,other,58429,0.603038465904986,0.23681733385818685,6776,1682,0.2622798529127153
validation,transition,20260715,all,96891,1.0,0.22201236440949107,13057,2981,0.37729361111913773
validation,transition,20260715,Pass+CONTROL,38462,0.396961534095014,0.20212157454110552,6045,1013,0.689124487004104
validation,transition,20260715,other,58429,0.603038465904986,0.23510585496927897,7012,1968,0.2714147474356493
validation,transition,20260716,all,96891,1.0,0.21627395733349847,13424,2469,0.38789840205738724
validation,transition,20260716,Pass+CONTROL,38462,0.396961534095014,0.20238157142114294,6327,772,0.7212722298221614
validation,transition,20260716,other,58429,0.603038465904986,0.22541888445806021,7097,1697,0.2747048577511128
validation,transition,20260717,all,96891,1.0,0.22312701902137452,12875,2558,0.37203455948218567
validation,transition,20260717,Pass+CONTROL,38462,0.396961534095014,0.20186157766106808,6264,833,0.7140902872777017
validation,transition,20260717,other,58429,0.603038465904986,0.23712540005819027,6611,1725,0.2558931681826979
