split,mode,seed,event,support,precision,recall,f1
validation,original,20260715,0,2049,0.8473520249221184,0.6637384089799903,0.7443897099069513
validation,original,20260715,1,82,0.5645161290322581,0.4268292682926829,0.4861111111111111
validation,original,20260715,2,431,0.9707207207207207,1.0,0.9851428571428571
validation,original,20260715,3,18,0.8181818181818182,0.5,0.6206896551724138
validation,original,20260715,4,326,0.5958904109589042,0.8006134969325154,0.6832460732984293
validation,original,20260715,5,25,0.0,0.0,0.0
validation,original,20260715,6,568,0.6097560975609756,0.2640845070422535,0.36855036855036855
validation,original,20260715,7,3657,0.7530920751259734,0.8990976210008204,0.8196435248660102
validation,original,20260715,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,original,20260715,9,90,0.48,0.4,0.43636363636363634
validation,original,20260716,0,2049,0.8174882629107981,0.6798438262567106,0.7423394617639222
validation,original,20260716,1,82,0.4731182795698925,0.5365853658536586,0.5028571428571429
validation,original,20260716,2,431,0.9751131221719457,1.0,0.9873997709049256
validation,original,20260716,3,18,0.6428571428571429,0.5,0.5625
validation,original,20260716,4,326,0.6574074074074074,0.6533742331288344,0.6553846153846153
validation,original,20260716,5,25,0.0,0.0,0.0
validation,original,20260716,6,568,0.6230366492146597,0.20950704225352113,0.31357048748353095
validation,original,20260716,7,3657,0.7481785063752276,0.8985507246376812,0.8164989439681948
validation,original,20260716,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,original,20260716,9,90,0.41379310344827586,0.4,0.4067796610169492
validation,original,20260717,0,2049,0.8382798304058147,0.675451439726696,0.7481081081081081
validation,original,20260717,1,82,0.4336283185840708,0.5975609756097561,0.5025641025641026
validation,original,20260717,2,431,0.9729119638826185,1.0,0.9862700228832952
validation,original,20260717,3,18,0.8333333333333334,0.5555555555555556,0.6666666666666666
validation,original,20260717,4,326,0.68125,0.6687116564417178,0.6749226006191951
validation,original,20260717,5,25,0.0,0.0,0.0
validation,original,20260717,6,568,0.6226415094339622,0.2323943661971831,0.3384615384615385
validation,original,20260717,7,3657,0.7461573236889693,0.9026524473612251,0.8169780967702017
validation,original,20260717,8,50,0.98,0.98,0.98
validation,original,20260717,9,90,0.49295774647887325,0.3888888888888889,0.43478260869565216
validation,null,20260715,0,2049,0.8473520249221184,0.6637384089799903,0.7443897099069513
validation,null,20260715,1,82,0.5645161290322581,0.4268292682926829,0.4861111111111111
validation,null,20260715,2,431,0.9707207207207207,1.0,0.9851428571428571
validation,null,20260715,3,18,0.8181818181818182,0.5,0.6206896551724138
validation,null,20260715,4,326,0.5958904109589042,0.8006134969325154,0.6832460732984293
validation,null,20260715,5,25,0.0,0.0,0.0
validation,null,20260715,6,568,0.6097560975609756,0.2640845070422535,0.36855036855036855
validation,null,20260715,7,3657,0.7530920751259734,0.8990976210008204,0.8196435248660102
validation,null,20260715,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,null,20260715,9,90,0.48,0.4,0.43636363636363634
validation,null,20260716,0,2049,0.8094688221709007,0.6842362127867252,0.7416027505950806
validation,null,20260716,1,82,0.5416666666666666,0.47560975609756095,0.5064935064935064
validation,null,20260716,2,431,0.9751131221719457,1.0,0.9873997709049256
validation,null,20260716,3,18,0.75,0.5,0.6
validation,null,20260716,4,326,0.6428571428571429,0.6625766871165644,0.6525679758308157
validation,null,20260716,5,25,0.0,0.0,0.0
validation,null,20260716,6,568,0.5892116182572614,0.25,0.3510506798516687
validation,null,20260716,7,3657,0.7543332562976658,0.8925348646431501,0.8176352705410822
validation,null,20260716,8,50,0.9795918367346939,0.96,0.9696969696969697
validation,null,20260716,9,90,0.4117647058823529,0.3888888888888889,0.4
validation,null,20260717,0,2049,0.8370281605751947,0.6817959980478282,0.7514792899408284
validation,null,20260717,1,82,0.4528301886792453,0.5853658536585366,0.5106382978723404
validation,null,20260717,2,431,0.9729119638826185,1.0,0.9862700228832952
validation,null,20260717,3,18,0.8333333333333334,0.5555555555555556,0.6666666666666666
validation,null,20260717,4,326,0.6737160120845922,0.6840490797546013,0.6788432267884322
validation,null,20260717,5,25,0.0,0.0,0.0
validation,null,20260717,6,568,0.6186046511627907,0.23415492957746478,0.3397190293742018
validation,null,20260717,7,3657,0.7495454545454545,0.9018321028165163,0.8186669976418022
validation,null,20260717,8,50,0.98,0.98,0.98
validation,null,20260717,9,90,0.4857142857142857,0.37777777777777777,0.425
validation,base_post,20260715,0,2049,0.8263684520306063,0.6852122986822841,0.7491995731056563
validation,base_post,20260715,1,82,0.5277777777777778,0.4634146341463415,0.4935064935064935
