split,mode,seed,group,value,samples,macro_f1_raw10,accuracy
validation,original,20260715,player_mask,False,573,0.26927894742481223,0.8760907504363001
validation,original,20260715,player_mask,True,6723,0.5465366837779483,0.760969805146512
validation,original,20260715,event_true,0,2049,0.07978879436784982,0.6637384089799903
validation,original,20260715,event_true,1,82,0.059829059829059825,0.4268292682926829
validation,original,20260715,event_true,2,431,0.1,1.0
validation,original,20260715,event_true,3,18,0.06666666666666667,0.5
validation,original,20260715,event_true,4,326,0.0889267461669506,0.8006134969325154
validation,original,20260715,event_true,5,25,0.0,0.0
validation,original,20260715,event_true,6,568,0.04178272980501393,0.2640845070422535
validation,original,20260715,event_true,7,3657,0.09468682505399569,0.8990976210008204
validation,original,20260715,event_true,8,50,0.09795918367346938,0.96
validation,original,20260715,event_true,9,90,0.05714285714285714,0.4
validation,original,20260715,control_state,1,459,0.19528847926267281,0.971677559912854
validation,original,20260715,control_state,2,3527,0.23283684662082757,0.7757300822228523
validation,original,20260715,control_state,3,3310,0.5201897803605033,0.7359516616314199
validation,original,20260715,event_role,1,4234,0.43566341071392845,0.7446858762399622
validation,original,20260715,event_role,2,422,0.47844997000330797,0.7511848341232228
validation,original,20260715,event_role,3,2197,0.33401398093841644,0.781520254893036
validation,original,20260715,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,original,20260715,switch_confirmed,False,6355,0.6234060558182541,0.790558615263572
validation,original,20260715,switch_confirmed,True,941,0.37926224473384285,0.6312433581296493
validation,original,20260716,player_mask,False,573,0.25903998778998777,0.7835951134380453
validation,original,20260716,player_mask,True,6723,0.5390294072194384,0.7630522088353414
validation,original,20260716,event_true,0,2049,0.08094131319000582,0.6798438262567106
validation,original,20260716,event_true,1,82,0.06984126984126984,0.5365853658536586
validation,original,20260716,event_true,2,431,0.1,1.0
validation,original,20260716,event_true,3,18,0.06666666666666667,0.5
validation,original,20260716,event_true,4,326,0.0790352504638219,0.6533742331288344
validation,original,20260716,event_true,5,25,0.0,0.0
validation,original,20260716,event_true,6,568,0.0346433770014556,0.20950704225352113
validation,original,20260716,event_true,7,3657,0.09465648854961832,0.8985507246376812
validation,original,20260716,event_true,8,50,0.09795918367346938,0.96
validation,original,20260716,event_true,9,90,0.05714285714285714,0.4
validation,original,20260716,control_state,1,459,0.21369598882069782,0.9738562091503268
validation,original,20260716,control_state,2,3527,0.2217145089048868,0.7723277573008223
validation,original,20260716,control_state,3,3310,0.50161562479949,0.7274924471299093
validation,original,20260716,event_role,1,4234,0.41293452030321315,0.7411431270666037
validation,original,20260716,event_role,2,422,0.4797622008717841,0.7180094786729858
validation,original,20260716,event_role,3,2197,0.3256740089477909,0.7765134274010014
validation,original,20260716,event_role,4,443,0.11873997709049255,0.9751693002257337
validation,original,20260716,switch_confirmed,False,6355,0.6058605185211059,0.7831628638867034
validation,original,20260716,switch_confirmed,True,941,0.37055917719011583,0.6397449521785334
validation,original,20260717,player_mask,False,573,0.25962610373920814,0.7993019197207679
validation,original,20260717,player_mask,True,6723,0.5519480065831655,0.7661758143685855
validation,original,20260717,event_true,0,2049,0.08062918729973784,0.675451439726696
validation,original,20260717,event_true,1,82,0.07480916030534351,0.5975609756097561
validation,original,20260717,event_true,2,431,0.1,1.0
validation,original,20260717,event_true,3,18,0.07142857142857142,0.5555555555555556
validation,original,20260717,event_true,4,326,0.08014705882352942,0.6687116564417178
validation,original,20260717,event_true,5,25,0.0,0.0
validation,original,20260717,event_true,6,568,0.037714285714285714,0.2323943661971831
validation,original,20260717,event_true,7,3657,0.09488358723771198,0.9026524473612251
validation,original,20260717,event_true,8,50,0.09898989898989899,0.98
validation,original,20260717,event_true,9,90,0.05600000000000001,0.3888888888888889
validation,original,20260717,control_state,1,459,0.19862700228832952,0.9738562091503268
validation,original,20260717,control_state,2,3527,0.23355211633636846,0.777998298837539
validation,original,20260717,control_state,3,3310,0.5217275155319651,0.7305135951661631
validation,original,20260717,event_role,1,4234,0.432611781646939,0.7442135096835144
validation,original,20260717,event_role,2,422,0.4723995160319177,0.7488151658767772
validation,original,20260717,event_role,3,2197,0.33155231295665477,0.7787892580791989
validation,original,20260717,event_role,4,443,0.09862700228832952,0.9729119638826185
validation,original,20260717,switch_confirmed,False,6355,0.6277093074540127,0.7875688434303698
validation,original,20260717,switch_confirmed,True,941,0.3805928147386889,0.6418703506907545
validation,null,20260715,player_mask,False,573,0.26927894742481223,0.8760907504363001
validation,null,20260715,player_mask,True,6723,0.5465366837779483,0.760969805146512
validation,null,20260715,event_true,0,2049,0.07978879436784982,0.6637384089799903
validation,null,20260715,event_true,1,82,0.059829059829059825,0.4268292682926829
validation,null,20260715,event_true,2,431,0.1,1.0
validation,null,20260715,event_true,3,18,0.06666666666666667,0.5
validation,null,20260715,event_true,4,326,0.0889267461669506,0.8006134969325154
validation,null,20260715,event_true,5,25,0.0,0.0
validation,null,20260715,event_true,6,568,0.04178272980501393,0.2640845070422535
validation,null,20260715,event_true,7,3657,0.09468682505399569,0.8990976210008204
validation,null,20260715,event_true,8,50,0.09795918367346938,0.96
validation,null,20260715,event_true,9,90,0.05714285714285714,0.4
validation,null,20260715,control_state,1,459,0.19528847926267281,0.971677559912854
validation,null,20260715,control_state,2,3527,0.23283684662082757,0.7757300822228523
