variant,seed,split,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
joint_original,20260715,validation,0.6373355263157895,0.5136543887226033,1.4689764976501465,18.406400680541992
joint_original,20260715,test,0.630526359262395,0.5006290811502182,1.5578614473342896,18.062889099121094
joint_optimized,20260715,validation,0.7576754385964912,0.5902636827989418,1.6550999879837036,22.345741271972656
joint_optimized,20260715,test,0.7528135131228447,0.5922429773521165,1.7090330123901367,21.849018096923828
joint_original,20260716,validation,0.6206140350877193,0.5077885672386262,1.4972082376480103,18.27227020263672
joint_original,20260716,test,0.617083445185537,0.5014103907860915,1.5469191074371338,17.830881118774414
joint_optimized,20260716,validation,0.7550712719298246,0.5885741109119026,1.609290361404419,21.717559814453125
joint_optimized,20260716,test,0.7585850868317261,0.6034516368526315,1.6477103233337402,21.305688858032227
joint_original,20260717,validation,0.6326754385964912,0.5022385280541237,1.4903292655944824,18.374805450439453
joint_original,20260717,test,0.6317343630619283,0.4990318980361619,1.5443439483642578,17.84625244140625
joint_optimized,20260717,validation,0.7572642543859649,0.5715100068979279,1.6000373363494873,22.62545394897461
joint_optimized,20260717,test,0.7578726743345654,0.5787158775642091,1.6534793376922607,22.11982536315918
