split,method,seed,samples,mean_distance_m,median_distance_m,distance_rmse_m,x_mae_m,y_mae_m,loss
validation,PR-Original,20260715,7296,16.383002253396214,9.714863378556245,23.55561845928402,11.908384028314398,9.252607487964141,0.019085325300693512
validation,PR-Original,20260716,7296,15.567748843297004,8.613548366120792,23.345140717326917,11.374497536395976,8.729313847435263,0.018778590485453606
validation,PR-Original,20260717,7296,16.37001413984789,9.705854656019303,23.491492532095204,11.912983776270075,9.30559057659641,0.01914168708026409
validation,PR-Refit,20260715,7296,16.03288860273101,9.076264498970856,23.438912920540776,11.626380521035907,9.070310968205153,0.01888776570558548
validation,PR-Refit,20260716,7296,15.544702122005866,8.60838572837294,23.27171419544344,11.378585947233276,8.700327168248405,0.018647585064172745
validation,PR-Refit,20260717,7296,15.804987867845872,8.87233383983557,23.441543290895105,11.41722922699333,9.03418183004026,0.01909700594842434
test,PR-Original,20260715,96854,15.935160793776294,9.335323200688723,23.19487079808243,11.68284207330128,8.827220533641322,0.018329311162233353
test,PR-Original,20260716,96854,15.010983947758383,8.196488053608036,22.717964318159126,11.068215914276326,8.261003990834961,0.017632948234677315
test,PR-Original,20260717,96854,15.936368732154419,9.342247362361377,23.09721771935912,11.725411866252104,8.84980897236244,0.018247291445732117
test,PR-Refit,20260715,96854,15.622498417431554,8.793927548527405,23.08552775467634,11.432743263761964,8.679662917247029,0.01817779429256916
test,PR-Refit,20260716,96854,14.99654043885357,8.220587981441561,22.659998763138685,11.07186852663875,8.244452240812716,0.01753665879368782
test,PR-Refit,20260717,96854,15.374633080010279,8.448117914307481,23.032855285653184,11.233445653925223,8.594069348472607,0.018168848007917404
