variant,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
b0,20260715,CONTROL,48288,0.7790134194831014,0.2093498017289197,1.0467387437820435,13.137676239013672
b0,20260715,CONTESTED,43001,0.7036347991907165,0.47393306364931365,1.128408670425415,19.952735900878906
b0,20260715,restart,5227,0.737325425674383,0.4275662924019449,1.256150245666504,20.239154815673828
b0,20260715,switch,11820,0.6516074450084602,0.3914569553059187,1.3868906497955322,19.007532119750977
b0,20260715,boundary,5425,0.9688479262672811,0.15914547406562435,9.724185943603516,28.12033462524414
b0,20260715,possession_1_3_events,43604,0.7353224474818824,0.5481126485026545,1.3488249778747559,17.229963302612305
b0,20260715,possession_4_10_events,39237,0.7692993857838265,0.5763150196500968,1.733059287071228,16.92239761352539
b0,20260715,possession_11plus_events,13683,0.784623255134108,0.5799526992468469,1.6850388050079346,16.248966217041016
b0,20260715,pass_heavy_possession,40599,0.7682947855858518,0.520693486060988,1.1421151161193848,13.00768756866455
t0_membership,20260715,CONTROL,48288,0.778972001325381,0.21070003790902012,1.041176676750183,13.105256080627441
t0_membership,20260715,CONTESTED,43001,0.7038673519220483,0.49511341507049333,1.1351157426834106,20.54500389099121
t0_membership,20260715,restart,5227,0.7438301128754544,0.432133686734007,1.2598034143447876,20.540239334106445
t0_membership,20260715,switch,11820,0.6499153976311337,0.3859361565782042,1.3891429901123047,19.311481475830078
t0_membership,20260715,boundary,5425,0.968110599078341,0.14327430831553645,10.010997772216797,33.444725036621094
t0_membership,20260715,possession_1_3_events,43604,0.7349555086689294,0.5647415285794215,1.362160086631775,17.81362533569336
t0_membership,20260715,possession_4_10_events,39237,0.7697326503045595,0.5953311314888808,1.7588142156600952,17.495960235595703
t0_membership,20260715,possession_11plus_events,13683,0.7843309215815245,0.5985887627101,1.680042028427124,16.579069137573242
t0_membership,20260715,pass_heavy_possession,40599,0.7656346215424025,0.5418847512227474,1.144435167312622,13.166168212890625
t1_owner,20260715,CONTROL,48288,0.7797175281643473,0.20913453632847134,1.0391960144042969,13.112516403198242
t1_owner,20260715,CONTESTED,43001,0.7049603497593079,0.4975381655774915,1.1399778127670288,20.226396560668945
t1_owner,20260715,restart,5227,0.7447866845226707,0.4320180476613883,1.261202335357666,20.45833396911621
t1_owner,20260715,switch,11820,0.651269035532995,0.38729045679845314,1.3839784860610962,19.234786987304688
t1_owner,20260715,boundary,5425,0.9686635944700461,0.14941246426276827,10.064167022705078,34.11708450317383
t1_owner,20260715,possession_1_3_events,43604,0.7347261719108339,0.5665746976675639,1.3590930700302124,17.712207794189453
t1_owner,20260715,possession_4_10_events,39237,0.7714402222392129,0.5972597818372458,1.766262412071228,17.410236358642578
t1_owner,20260715,possession_11plus_events,13683,0.786377256449609,0.6024067357517687,1.6960175037384033,16.446428298950195
t1_owner,20260715,pass_heavy_possession,40599,0.7673095396438336,0.5436360961211165,1.148598313331604,13.101573944091797
