model,seed,group,samples,sample_share,errors,error_rate,forward_errors,reverse_errors,forward_rate,forward_share_of_all_errors,forward_share_of_all_forward,true_duel_others,forward_given_true_duel_others,true_pass,reverse_given_true_pass
original,20260715,ALL,96891,1.0,22539,0.23262222497445584,12760,3170,0.1316943782188232,0.5661298194241093,1.0,34607,0.36871153234894677,49055,0.06462134339007236
original,20260715,Pass + CONTROL,38462,0.396961534095014,7978,0.20742551089386926,6174,1045,0.16052207373511518,0.27392519632636764,0.48385579937304074,8772,0.7038303693570451,29189,0.035801157970468324
original,20260715,Other anchors,58429,0.603038465904986,14561,0.2492084410138801,6586,2125,0.11271799962347465,0.2922046230977417,0.5161442006269592,25835,0.2549254886781498,19866,0.1069666767341186
original,20260715,Duel / CONTESTED,26790,0.276496269003313,5798,0.21642403882045538,2722,630,0.10160507652108997,0.12076844580504903,0.21332288401253918,17036,0.15977929091335993,7048,0.08938706015891033
original,20260715,Foul / DEAD_BALL,1194,0.012323125986933772,31,0.025963149078726967,0,0,0.0,0.0,0.0,0,,4,0.0
original,20260715,Free Kick / DEAD_BALL,13,0.00013417138846745312,6,0.46153846153846156,0,0,0.0,0.0,0.0,0,,0,
original,20260715,Free Kick / CONTROL,4608,0.04755859677369415,1147,0.24891493055555555,536,459,0.11631944444444445,0.02378100181906917,0.04200626959247649,1980,0.27070707070707073,2557,0.17950723504106375
original,20260715,Free Kick / CONTESTED,913,0.009422959820829592,235,0.2573932092004381,73,40,0.07995618838992333,0.003238830471626958,0.005721003134796238,313,0.23322683706070288,383,0.10443864229765012
original,20260715,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,80,0.40404040404040403,33,23,0.16666666666666666,0.0014641288433382138,0.002586206896551724,73,0.4520547945205479,109,0.21100917431192662
original,20260715,Interruption / DEAD_BALL,4291,0.044286879070295486,165,0.03845257515730599,0,0,0.0,0.0,0.0,3,0.0,27,0.0
original,20260715,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260715,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,5,0.8333333333333334,0,0,0.0,0.0,0.0,0,,0,
original,20260715,Others on the ball / CONTROL,3510,0.03622627488621234,1310,0.3732193732193732,843,117,0.24017094017094018,0.03740183681618528,0.06606583072100314,1059,0.7960339943342776,2214,0.052845528455284556
original,20260715,Others on the ball / CONTESTED,4284,0.04421463293804378,1673,0.39052287581699346,455,158,0.10620915032679738,0.020187231021784463,0.03565830721003135,1096,0.41514598540145986,1584,0.09974747474747475
original,20260715,Pass / CONTROL,38462,0.396961534095014,7978,0.20742551089386926,6174,1045,0.16052207373511518,0.27392519632636764,0.48385579937304074,8772,0.7038303693570451,29189,0.035801157970468324
original,20260715,Pass / CONTESTED,10626,0.10966962875808899,3782,0.3559194428759646,1842,688,0.17334839073969507,0.08172500998269666,0.14435736677115987,3809,0.4835914938304017,5639,0.1220074481291009
original,20260715,Save attempt / CONTESTED,517,0.005335892910590251,266,0.5145067698259188,82,4,0.15860735009671179,0.003638138337991925,0.006426332288401254,123,0.6666666666666666,280,0.014285714285714285
original,20260715,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260715,Shot / CONTESTED,1083,0.011177508746942441,63,0.05817174515235457,0,6,0.0,0.0,0.0,343,0.0,21,0.2857142857142857
original,20260716,ALL,96891,1.0,22923,0.23658544137226367,12590,3694,0.12993982929271036,0.5492300309732583,1.0,34607,0.36379923136937614,49055,0.0753032310671695
original,20260716,Pass + CONTROL,38462,0.396961534095014,8000,0.20799750402995165,6066,1172,0.15771410743071082,0.2646250490773459,0.4818109610802224,8772,0.6915184678522572,29189,0.04015211209702285
original,20260716,Other anchors,58429,0.603038465904986,14923,0.2554039945917267,6524,2522,0.11165688271235175,0.2846049818959124,0.5181890389197776,25835,0.2525256435068705,19866,0.12695056881103392
original,20260716,Duel / CONTESTED,26790,0.276496269003313,5784,0.21590145576707725,2516,659,0.0939156401642404,0.10975875757972342,0.19984114376489276,17036,0.14768725052829304,7048,0.09350170261066969
original,20260716,Foul / DEAD_BALL,1194,0.012323125986933772,33,0.02763819095477387,0,0,0.0,0.0,0.0,0,,4,0.0
original,20260716,Free Kick / DEAD_BALL,13,0.00013417138846745312,3,0.23076923076923078,0,0,0.0,0.0,0.0,0,,0,
original,20260716,Free Kick / CONTROL,4608,0.04755859677369415,1207,0.2619357638888889,450,613,0.09765625,0.01963093835885355,0.035742652899126294,1980,0.22727272727272727,2557,0.23973406335549471
original,20260716,Free Kick / CONTESTED,913,0.009422959820829592,286,0.3132530120481928,124,30,0.13581599123767799,0.005409414125550757,0.009849086576648134,313,0.3961661341853035,383,0.0783289817232376
original,20260716,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,96,0.48484848484848486,29,45,0.14646464646464646,0.0012651049164594513,0.0023034154090548053,73,0.3972602739726027,109,0.41284403669724773
original,20260716,Interruption / DEAD_BALL,4291,0.044286879070295486,160,0.0372873456070846,0,0,0.0,0.0,0.0,3,0.0,27,0.0
original,20260716,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260716,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260716,Others on the ball / CONTROL,3510,0.03622627488621234,1292,0.3680911680911681,705,268,0.20085470085470086,0.0307551367622039,0.05599682287529786,1059,0.6657223796033994,2214,0.12104787714543812
original,20260716,Others on the ball / CONTESTED,4284,0.04421463293804378,1702,0.3972922502334267,496,233,0.1157796451914099,0.021637656502203027,0.039396346306592535,1096,0.45255474452554745,1584,0.14709595959595959
original,20260716,Pass / CONTROL,38462,0.396961534095014,8000,0.20799750402995165,6066,1172,0.15771410743071082,0.2646250490773459,0.4818109610802224,8772,0.6915184678522572,29189,0.04015211209702285
original,20260716,Pass / CONTESTED,10626,0.10966962875808899,4039,0.3801054018445323,2125,667,0.1999811782420478,0.09270165336125288,0.1687847498014297,3809,0.5578892097663428,5639,0.11828338357864869
original,20260716,Save attempt / CONTESTED,517,0.005335892910590251,259,0.5009671179883946,79,1,0.1528046421663443,0.0034463202896654016,0.006274821286735504,123,0.6422764227642277,280,0.0035714285714285713
original,20260716,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260716,Shot / CONTESTED,1083,0.011177508746942441,62,0.057248384118190214,0,6,0.0,0.0,0.0,343,0.0,21,0.2857142857142857
original,20260717,ALL,96891,1.0,22440,0.23160045824689598,12857,3160,0.13269550319431114,0.5729500891265598,1.0,34607,0.3715144334961135,49055,0.06441749057180715
original,20260717,Pass + CONTROL,38462,0.396961534095014,7921,0.20594352867765586,6266,928,0.16291404503145962,0.27923351158645277,0.487360970677452,8772,0.7143182854537163,29189,0.03179279865702833
original,20260717,Other anchors,58429,0.603038465904986,14519,0.24848961988053878,6591,2232,0.11280357356792003,0.29371657754010694,0.512639029322548,25835,0.25511902457905944,19866,0.11235276351555422
original,20260717,Duel / CONTESTED,26790,0.276496269003313,5693,0.21250466592011943,2681,453,0.10007465472191115,0.11947415329768271,0.20852453916154623,17036,0.1573726226813806,7048,0.06427355278093076
original,20260717,Foul / DEAD_BALL,1194,0.012323125986933772,29,0.024288107202680067,0,0,0.0,0.0,0.0,0,,4,0.0
original,20260717,Free Kick / DEAD_BALL,13,0.00013417138846745312,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260717,Free Kick / CONTROL,4608,0.04755859677369415,1158,0.2513020833333333,452,557,0.09809027777777778,0.02014260249554367,0.035155946177179744,1980,0.22828282828282828,2557,0.21783339851388345
original,20260717,Free Kick / CONTESTED,913,0.009422959820829592,253,0.27710843373493976,91,41,0.09967141292442497,0.004055258467023173,0.007077856420626896,313,0.29073482428115016,383,0.10704960835509138
original,20260717,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,99,0.5,7,65,0.03535353535353535,0.00031194295900178256,0.0005444504938943766,73,0.0958904109589041,109,0.5963302752293578
original,20260717,Interruption / DEAD_BALL,4291,0.044286879070295486,166,0.03868562106735027,0,0,0.0,0.0,0.0,3,0.0,27,0.0
original,20260717,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260717,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,1,0.16666666666666666,0,0,0.0,0.0,0.0,0,,0,
original,20260717,Others on the ball / CONTROL,3510,0.03622627488621234,1266,0.3606837606837607,743,223,0.2116809116809117,0.03311051693404635,0.05778953099478883,1059,0.7016052880075543,2214,0.1007226738934056
original,20260717,Others on the ball / CONTESTED,4284,0.04421463293804378,1688,0.39402427637721754,493,248,0.11507936507936507,0.02196969696969697,0.0383448704985611,1096,0.4498175182481752,1584,0.15656565656565657
original,20260717,Pass / CONTROL,38462,0.396961534095014,7921,0.20594352867765586,6266,928,0.16291404503145962,0.27923351158645277,0.487360970677452,8772,0.7143182854537163,29189,0.03179279865702833
original,20260717,Pass / CONTESTED,10626,0.10966962875808899,3849,0.3622247317899492,2041,630,0.19207603990212685,0.09095365418894831,0.15874620829120323,3809,0.5358361774744027,5639,0.11172193651356624
original,20260717,Save attempt / CONTESTED,517,0.005335892910590251,255,0.4932301740812379,83,8,0.16054158607350097,0.003698752228163993,0.0064556272847476085,123,0.6747967479674797,280,0.02857142857142857
original,20260717,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
original,20260717,Shot / CONTESTED,1083,0.011177508746942441,62,0.057248384118190214,0,7,0.0,0.0,0.0,343,0.0,21,0.3333333333333333
rotate,20260715,ALL,96891,1.0,21395,0.22081514278931996,13045,2948,0.13463582788907122,0.6097218976396355,1.0,34607,0.3769468604617563,49055,0.06009581082458465
rotate,20260715,Pass + CONTROL,38462,0.396961534095014,7743,0.20131558421298945,6176,870,0.16057407311112268,0.28866557606917503,0.473438098888463,8772,0.7040583675330597,29189,0.02980574874096406
rotate,20260715,Other anchors,58429,0.603038465904986,13652,0.23365109791370722,6869,2078,0.11756148487908402,0.3210563215704604,0.526561901111537,25835,0.2658796206696342,19866,0.1046008255310581
rotate,20260715,Duel / CONTESTED,26790,0.276496269003313,5392,0.20126913027248974,2917,398,0.10888391190742815,0.13634026641738725,0.22361057876581067,17036,0.17122563982155437,7048,0.05646992054483541
rotate,20260715,Foul / DEAD_BALL,1194,0.012323125986933772,29,0.024288107202680067,0,0,0.0,0.0,0.0,0,,4,0.0
rotate,20260715,Free Kick / DEAD_BALL,13,0.00013417138846745312,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260715,Free Kick / CONTROL,4608,0.04755859677369415,1092,0.23697916666666666,418,532,0.09071180555555555,0.01953727506426735,0.032042928325028745,1980,0.2111111111111111,2557,0.208056315995307
rotate,20260715,Free Kick / CONTESTED,913,0.009422959820829592,238,0.2606790799561884,81,46,0.0887185104052574,0.0037859312923580277,0.00620927558451514,313,0.25878594249201275,383,0.12010443864229765
rotate,20260715,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,80,0.40404040404040403,22,36,0.1111111111111111,0.0010282776349614395,0.0016864699118436183,73,0.3013698630136986,109,0.3302752293577982
rotate,20260715,Interruption / DEAD_BALL,4291,0.044286879070295486,152,0.035422978326730366,2,1,0.00046609182008855747,9.34797849964945e-05,0.00015331544653123802,3,0.6666666666666666,27,0.037037037037037035
rotate,20260715,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260715,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,6,1.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260715,Others on the ball / CONTROL,3510,0.03622627488621234,1233,0.35128205128205126,687,287,0.19572649572649573,0.03211030614629586,0.052663855883480264,1059,0.6487252124645893,2214,0.12962962962962962
rotate,20260715,Others on the ball / CONTESTED,4284,0.04421463293804378,1512,0.35294117647058826,598,123,0.1395891690009337,0.02795045571395186,0.04584131851284017,1096,0.5456204379562044,1584,0.07765151515151515
rotate,20260715,Pass / CONTROL,38462,0.396961534095014,7743,0.20131558421298945,6176,870,0.16057407311112268,0.28866557606917503,0.473438098888463,8772,0.7040583675330597,29189,0.02980574874096406
rotate,20260715,Pass / CONTESTED,10626,0.10966962875808899,3612,0.33992094861660077,2025,648,0.19057029926595143,0.09464828230895068,0.1552318896128785,3809,0.5316355998949855,5639,0.11491399184252526
rotate,20260715,Save attempt / CONTESTED,517,0.005335892910590251,244,0.47195357833655704,119,1,0.23017408123791103,0.005562047207291423,0.009122269068608663,123,0.967479674796748,280,0.0035714285714285713
rotate,20260715,Shot / DEAD_BALL,143,0.0014758852731419842,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260715,Shot / CONTESTED,1083,0.011177508746942441,62,0.057248384118190214,0,6,0.0,0.0,0.0,343,0.0,21,0.2857142857142857
rotate,20260716,ALL,96891,1.0,21199,0.2187922510862722,13387,2490,0.13816556749336883,0.6314920515118637,1.0,34607,0.38682925419712777,49055,0.05075935174803792
rotate,20260716,Pass + CONTROL,38462,0.396961534095014,7790,0.2025375695491654,6383,716,0.16595600852789766,0.30109910844851173,0.4768058564278778,8772,0.72765617875057,29189,0.02452978861900031
rotate,20260716,Other anchors,58429,0.603038465904986,13409,0.229492204213661,7004,1774,0.11987198137910969,0.33039294306335204,0.5231941435721222,25835,0.2711050899941939,19866,0.08929829860062419
rotate,20260716,Duel / CONTESTED,26790,0.276496269003313,5417,0.20220231429637925,2814,421,0.10503919372900336,0.1327421104769093,0.21020392918503025,17036,0.1651796196290209,7048,0.059733257661748015
rotate,20260716,Foul / DEAD_BALL,1194,0.012323125986933772,29,0.024288107202680067,0,0,0.0,0.0,0.0,0,,4,0.0
rotate,20260716,Free Kick / DEAD_BALL,13,0.00013417138846745312,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260716,Free Kick / CONTROL,4608,0.04755859677369415,1072,0.2326388888888889,600,349,0.13020833333333334,0.028303221850087268,0.04481960110555016,1980,0.30303030303030304,2557,0.13648807195932733
rotate,20260716,Free Kick / CONTESTED,913,0.009422959820829592,214,0.2343921139101862,68,50,0.07447973713033954,0.0032076984763432237,0.005079554791962352,313,0.21725239616613418,383,0.13054830287206268
rotate,20260716,Goalkeeper leaving line / CONTESTED,198,0.0020435334551196704,88,0.4444444444444444,72,0,0.36363636363636365,0.003396386622010472,0.005378352132666019,73,0.9863013698630136,109,0.0
rotate,20260716,Interruption / DEAD_BALL,4291,0.044286879070295486,165,0.03845257515730599,1,0,0.00023304591004427873,4.717203641681211e-05,7.469933517591694e-05,3,0.3333333333333333,27,0.0
rotate,20260716,Offside / DEAD_BALL,253,0.002611181637097357,0,0.0,0,0,0.0,0.0,0.0,0,,0,
rotate,20260716,Others on the ball / DEAD_BALL,6,6.19252562157476e-05,1,0.16666666666666666,0,0,0.0,0.0,0.0,0,,0,
