model,true_event,predicted_event,count,share_of_errors,rate_given_true
original,Duel,Foul,195.66666666666666,0.008643473624392847,0.007300995024875623
original,Duel,Free Kick,3.3333333333333335,0.0001470965638501081,0.0001243781094527363
original,Duel,Goalkeeper leaving line,1.0,4.418504267624503e-05,3.7313432835820896e-05
original,Duel,Interruption,412.3333333333333,0.018232686673720667,0.015385572139303484
original,Duel,Offside,0.0,0.0,0.0
original,Duel,Others on the ball,200.33333333333334,0.008853531926385313,0.007475124378109453
original,Duel,Pass,8033.666666666667,0.3550263530042903,0.2997636815920398
original,Duel,Save attempt,0.0,0.0,0.0
original,Duel,Shot,249.33333333333334,0.011011282977525272,0.009303482587064676
original,Foul,Duel,51.666666666666664,0.0022759604824974986,0.04327191513121161
original,Foul,Free Kick,38.666666666666664,0.0017086752285521832,0.03238414293690676
original,Foul,Goalkeeper leaving line,0.0,0.0,0.0
original,Foul,Interruption,4.333333333333333,0.00019108586737617427,0.0036292573981016193
original,Foul,Offside,0.0,0.0,0.0
original,Foul,Others on the ball,8.666666666666666,0.0003823022275191344,0.0072585147962032385
original,Foul,Pass,496.3333333333333,0.021945261918752967,0.4156895589056393
original,Foul,Save attempt,0.0,0.0,0.0
original,Foul,Shot,17.0,0.0007495287662431805,0.01423785594639866
original,Free Kick,Duel,0.0,0.0,0.0
original,Free Kick,Foul,0.0,0.0,0.0
original,Free Kick,Goalkeeper leaving line,0.0,0.0,0.0
original,Free Kick,Interruption,1.3333333333333333,5.897422291198457e-05,0.00024041351123933166
original,Free Kick,Offside,0.0,0.0,0.0
original,Free Kick,Others on the ball,1.3333333333333333,5.872647849761804e-05,0.00024041351123933166
original,Free Kick,Pass,8.666666666666666,0.0003822502222549468,0.0015626878230556556
original,Free Kick,Save attempt,0.0,0.0,0.0
original,Free Kick,Shot,0.0,0.0,0.0
original,Goalkeeper leaving line,Duel,15.666666666666666,0.0006917280190196357,0.07912457912457913
original,Goalkeeper leaving line,Foul,0.0,0.0,0.0
original,Goalkeeper leaving line,Free Kick,0.0,0.0,0.0
original,Goalkeeper leaving line,Interruption,45.666666666666664,0.0020190787565909454,0.23063973063973064
original,Goalkeeper leaving line,Offside,0.0,0.0,0.0
original,Goalkeeper leaving line,Others on the ball,11.333333333333334,0.0005013333796223733,0.057239057239057235
original,Goalkeeper leaving line,Pass,6.333333333333333,0.0002794691938478697,0.03198653198653199
original,Goalkeeper leaving line,Save attempt,0.3333333333333333,1.4541435821373002e-05,0.0016835016835016836
original,Goalkeeper leaving line,Shot,0.0,0.0,0.0
original,Interruption,Duel,137.66666666666666,0.006073202887785995,0.0320826536160957
original,Interruption,Foul,0.0,0.0,0.0
original,Interruption,Free Kick,127.66666666666667,0.005641144026737992,0.02975219451565292
original,Interruption,Goalkeeper leaving line,5.0,0.00022067746896685866,0.0011652295502213937
original,Interruption,Offside,0.0,0.0,0.0
original,Interruption,Others on the ball,155.33333333333334,0.006857968412673468,0.036199798026877957
original,Interruption,Pass,813.6666666666666,0.035919127728113204,0.18962168880602812
original,Interruption,Save attempt,0.0,0.0,0.0
original,Interruption,Shot,7.666666666666667,0.0003366307183566902,0.0017866853103394701
original,Offside,Duel,3.6666666666666665,0.0001616379996714811,0.014492753623188406
original,Offside,Foul,0.3333333333333333,1.4541435821373002e-05,0.0013175230566534913
original,Offside,Free Kick,0.0,0.0,0.0
original,Offside,Goalkeeper leaving line,0.0,0.0,0.0
original,Offside,Interruption,18.666666666666668,0.0008240221615147988,0.07378129117259552
original,Offside,Others on the ball,52.333333333333336,0.002315032577430138,0.20685111989459815
original,Offside,Pass,175.33333333333334,0.007746128665656968,0.6930171277997365
original,Offside,Save attempt,0.0,0.0,0.0
original,Offside,Shot,2.6666666666666665,0.00011745295699523608,0.01054018445322793
original,Others on the ball,Duel,604.6666666666666,0.026696741627173445,0.07745185944238077
original,Others on the ball,Foul,50.333333333333336,0.00222134260772837,0.0064472054993382
original,Others on the ball,Free Kick,0.0,0.0,0.0
original,Others on the ball,Goalkeeper leaving line,3.6666666666666665,0.0001617032460548741,0.0004696639767729815
original,Others on the ball,Interruption,311.0,0.013755707508863449,0.03983604457538107
original,Others on the ball,Offside,0.0,0.0,0.0
original,Others on the ball,Pass,4702.0,0.20774362683701886,0.602280005123607
original,Others on the ball,Save attempt,2.0,8.837008535249006e-05,0.0002561803509670808
original,Others on the ball,Shot,97.66666666666667,0.004310780632836668,0.01251014047222578
original,Pass,Duel,2589.3333333333335,0.11430725204364034,0.05278428974280569
original,Pass,Foul,427.6666666666667,0.018891421188040627,0.008718105527808922
original,Pass,Free Kick,24.0,0.0010610670058254,0.00048924676383651
original,Pass,Goalkeeper leaving line,2.3333333333333335,0.00010210304154737052,4.756565759521625e-05
original,Pass,Interruption,839.6666666666666,0.03712990968072399,0.017116841640335678
original,Pass,Offside,0.0,0.0,0.0
original,Pass,Others on the ball,752.0,0.03323050134426455,0.015329731933543983
original,Pass,Save attempt,0.0,0.0,0.0
original,Pass,Shot,155.33333333333334,0.0068553207524054026,0.0031665137770529677
original,Save attempt,Duel,3.6666666666666665,0.00016213348850021417,0.007037747920665387
original,Save attempt,Foul,0.0,0.0,0.0
original,Save attempt,Free Kick,1.3333333333333333,5.915672094295813e-05,0.0025591810620601407
original,Save attempt,Goalkeeper leaving line,8.666666666666666,0.0003825632130527063,0.016634676903390915
original,Save attempt,Interruption,13.0,0.000574027317610033,0.02495201535508637
original,Save attempt,Offside,0.0,0.0,0.0
original,Save attempt,Others on the ball,5.333333333333333,0.0002360141432955189,0.010236724248240563
original,Save attempt,Pass,5.333333333333333,0.0002359753791505366,0.010236724248240563
original,Save attempt,Shot,0.0,0.0,0.0
original,Shot,Duel,178.0,0.007859122223193606,0.14518760195758565
original,Shot,Foul,10.0,0.00044186366788165576,0.008156606851549756
original,Shot,Free Kick,0.0,0.0,0.0
