model,seed,true_event,predicted_event,count,share_of_errors,rate_given_true
original,20260715,Duel,Foul,125,0.005545942588402325,0.0046641791044776115
original,20260715,Duel,Free Kick,3,0.0001331026221216558,0.00011194029850746269
original,20260715,Duel,Goalkeeper leaving line,1,4.43675407072186e-05,3.7313432835820896e-05
original,20260715,Duel,Interruption,597,0.026487421802209504,0.022276119402985076
original,20260715,Duel,Offside,0,0.0,0.0
original,20260715,Duel,Others on the ball,208,0.009228448467101469,0.007761194029850746
original,20260715,Duel,Pass,8206,0.36408003904343583,0.3061940298507463
original,20260715,Duel,Save attempt,0,0.0,0.0
original,20260715,Duel,Shot,254,0.011269355339633524,0.009477611940298508
original,20260715,Foul,Duel,46,0.0020409068725320556,0.038525963149078725
original,20260715,Foul,Free Kick,39,0.0017303340875815254,0.032663316582914576
original,20260715,Foul,Goalkeeper leaving line,0,0.0,0.0
original,20260715,Foul,Interruption,7,0.0003105727849505302,0.005862646566164154
original,20260715,Foul,Offside,0,0.0,0.0
original,20260715,Foul,Others on the ball,12,0.0005324104884866232,0.010050251256281407
original,20260715,Foul,Pass,646,0.028661431296863216,0.541038525963149
original,20260715,Foul,Save attempt,0,0.0,0.0
original,20260715,Foul,Shot,13,0.0005767780291938418,0.010887772194304857
original,20260715,Free Kick,Duel,0,0.0,0.0
original,20260715,Free Kick,Foul,0,0.0,0.0
original,20260715,Free Kick,Goalkeeper leaving line,0,0.0,0.0
original,20260715,Free Kick,Interruption,2,8.87350814144372e-05,0.0003606202668589975
original,20260715,Free Kick,Offside,0,0.0,0.0
original,20260715,Free Kick,Others on the ball,1,4.43675407072186e-05,0.00018031013342949875
original,20260715,Free Kick,Pass,8,0.0003549403256577488,0.00144248106743599
original,20260715,Free Kick,Save attempt,0,0.0,0.0
original,20260715,Free Kick,Shot,0,0.0,0.0
original,20260715,Goalkeeper leaving line,Duel,17,0.0007542481920227162,0.08585858585858586
original,20260715,Goalkeeper leaving line,Foul,0,0.0,0.0
original,20260715,Goalkeeper leaving line,Free Kick,0,0.0,0.0
original,20260715,Goalkeeper leaving line,Interruption,53,0.002351479657482586,0.2676767676767677
original,20260715,Goalkeeper leaving line,Offside,0,0.0,0.0
