model,event,support,precision,recall,f1,predicted_count
original,Duel,26800.0,0.8320254557094956,0.6606094527363184,0.7363208158267885,21288.666666666668
original,Foul,1194.0,0.4652793763668672,0.48352875488553876,0.4664491708360196,1261.3333333333333
original,Free Kick,5546.0,0.9659669898805218,0.9979564851544657,0.9817010398384012,5729.666666666667
original,Goalkeeper leaving line,198.0,0.853422519509476,0.5993265993265994,0.7035674236052705,139.33333333333334
original,Interruption,4291.0,0.6522597690387367,0.7093917501747845,0.6756115012867872,4712.0
original,Offside,253.0,0.0,0.0,0.0,0.0
original,Others on the ball,7807.0,0.621080698813626,0.2607489005593271,0.36715222053455104,3276.0
original,Pass,49055.0,0.7505797401478894,0.902347704957021,0.8194893197364995,58974.333333333336
original,Save attempt,521.0,0.995202677559106,0.9283429302623162,0.9605856829006343,486.0
original,Shot,1226.0,0.4838182694787357,0.4029363784665579,0.4392050805805496,1023.6666666666666
rotate,Duel,26800.0,0.8608848252074729,0.6560572139303482,0.7444931605434912,20430.666666666668
rotate,Foul,1194.0,0.5465322993414076,0.466499162479062,0.501576225973228,1023.6666666666666
rotate,Free Kick,5546.0,0.9678866477826674,0.9980165885322755,0.9827197174482203,5718.666666666667
rotate,Goalkeeper leaving line,198.0,0.8060193519351936,0.712121212121212,0.7541350016159564,175.66666666666666
rotate,Interruption,4291.0,0.7095505889314612,0.7911131826303115,0.7431532973091212,4842.0
rotate,Offside,253.0,0.0,0.0,0.0,0.0
rotate,Others on the ball,7807.0,0.6725642094784489,0.26557363050254046,0.37990430831834626,3092.6666666666665
rotate,Pass,49055.0,0.7515645026889048,0.9216525668467367,0.8279542224634163,60158.0
rotate,Save attempt,521.0,0.9932026227830786,0.9334612923864363,0.962399516931124,489.6666666666667
rotate,Shot,1226.0,0.5295107261545935,0.41381185426862427,0.4639205270187127,960.0
