model,seed,event,support,precision,recall,f1,predicted_count
original,20260715,Duel,26800,0.8448284230451876,0.6494776119402985,0.7343838997531802,20603
original,20260715,Foul,1194,0.5100591715976331,0.3609715242881072,0.42275625306522807,845
original,20260715,Free Kick,5546,0.9654631083202512,0.9980165885322755,0.9814699884741556,5733
original,20260715,Goalkeeper leaving line,198,0.8846153846153846,0.5808080808080808,0.7012195121951219,130
original,20260715,Interruption,4291,0.5970949334255576,0.8047075273828944,0.6855270994639666,5783
original,20260715,Offside,253,0.0,0.0,0.0,0
original,20260715,Others on the ball,7807,0.6295015845577643,0.2798770334315358,0.387480049654194,3471
original,20260715,Pass,49055,0.7520856341857106,0.9023341147691367,0.8203873598369011,58855
original,20260715,Save attempt,521,0.9958246346555324,0.9155470249520153,0.954,479
original,20260715,Shot,1226,0.4899193548387097,0.3964110929853181,0.4382326420198377,992
original,20260716,Duel,26800,0.813116236996834,0.6708208955223881,0.7351461868738499,22110
original,20260716,Foul,1194,0.44738725841088045,0.5234505862646566,0.4824392126592049,1397
original,20260716,Free Kick,5546,0.9666258955093483,0.997475658131987,0.9818085011979768,5723
original,20260716,Goalkeeper leaving line,198,0.8133333333333334,0.6161616161616161,0.7011494252873564,150
original,20260716,Interruption,4291,0.6759236899299687,0.6522955022139362,0.663899430740038,4141
original,20260716,Offside,253,0.0,0.0,0.0,0
original,20260716,Others on the ball,7807,0.6103316326530612,0.24516459587549636,0.349812665630997,3136
original,20260716,Pass,49055,0.750498933901919,0.896911629803282,0.8171991084695394,58625
original,20260716,Save attempt,521,0.9938650306748467,0.9328214971209213,0.9623762376237623,489
original,20260716,Shot,1226,0.4589285714285714,0.4192495921696574,0.4381926683716965,1120
original,20260717,Duel,26800,0.8381317070864652,0.6615298507462687,0.7394323608533355,21153
original,20260717,Foul,1194,0.4383916990920882,0.5661641541038526,0.49415204678362573,1542
original,20260717,Free Kick,5546,0.9658119658119658,0.9983772087991345,0.9818246298430712,5733
original,20260717,Goalkeeper leaving line,198,0.8623188405797102,0.601010101010101,0.7083333333333334,138
original,20260717,Interruption,4291,0.6837606837606838,0.6711722209275227,0.6774079736563566,4212
original,20260717,Offside,253,0.0,0.0,0.0,0
original,20260717,Others on the ball,7807,0.6234088792300527,0.25720507237094914,0.3641639463184621,3221
original,20260717,Pass,49055,0.7491546523560385,0.9077973702986444,0.8208814909030582,59443
original,20260717,Save attempt,521,0.9959183673469387,0.9366602687140115,0.9653808110781404,490
original,20260717,Shot,1226,0.502606882168926,0.3931484502446982,0.4411899313501144,959
rotate,20260715,Duel,26800,0.8466364751391641,0.6696641791044776,0.7478228259510813,21198
rotate,20260715,Foul,1194,0.579062159214831,0.44472361809045224,0.5030791094268119,917
rotate,20260715,Free Kick,5546,0.969187675070028,0.998196898665705,0.9834784153490851,5712
rotate,20260715,Goalkeeper leaving line,198,0.8375,0.6767676767676768,0.7486033519553073,160
rotate,20260715,Interruption,4291,0.776084099868594,0.688184572360755,0.7294960474308301,3805
rotate,20260715,Offside,253,0.0,0.0,0.0,0
rotate,20260715,Others on the ball,7807,0.6730707652897855,0.26924554886640195,0.38462946020128086,3123
rotate,20260715,Pass,49055,0.7478087189052673,0.9235144225868923,0.8264256266189938,60581
rotate,20260715,Save attempt,521,0.9938398357289527,0.9289827255278311,0.9603174603174603,487
rotate,20260715,Shot,1226,0.5572687224669604,0.41272430668841764,0.4742268041237113,908
rotate,20260716,Duel,26800,0.8716120550161812,0.6431716417910448,0.740166609412573,19776
rotate,20260716,Foul,1194,0.5392670157068062,0.43132328308207707,0.47929269427640764,955
rotate,20260716,Free Kick,5546,0.9691714836223507,0.9976559682654165,0.9832074633496224,5709
rotate,20260716,Goalkeeper leaving line,198,0.8181818181818182,0.6818181818181818,0.743801652892562,165
rotate,20260716,Interruption,4291,0.7182686683564048,0.8585411326031228,0.7821656050955414,5129
rotate,20260716,Offside,253,0.0,0.0,0.0,0
rotate,20260716,Others on the ball,7807,0.6473124461052027,0.288459075188933,0.39907850434166225,3479
rotate,20260716,Pass,49055,0.7527413281133358,0.9250025481602283,0.8300285358893685,60281
rotate,20260716,Save attempt,521,0.9959100204498977,0.9347408829174664,0.9643564356435643,489
rotate,20260716,Shot,1226,0.5209251101321586,0.38580750407830344,0.44329896907216493,908
rotate,20260717,Duel,26800,0.8644059454670735,0.6553358208955223,0.7454900462668195,20318
rotate,20260717,Foul,1194,0.5212677231025855,0.5234505862646566,0.5223568742164647,1199
rotate,20260717,Free Kick,5546,0.9653007846556234,0.998196898665705,0.9814732736459534,5735
rotate,20260717,Goalkeeper leaving line,198,0.7623762376237624,0.7777777777777778,0.77,202
rotate,20260717,Interruption,4291,0.6342989985693849,0.8266138429270566,0.7177982394009916,5592
rotate,20260717,Offside,253,0.0,0.0,0.0,0
rotate,20260717,Others on the ball,7807,0.6973094170403588,0.2390162674522864,0.3560049604120958,2676
rotate,20260717,Pass,49055,0.7541434610481111,0.9164407297930894,0.8274085048818869,59612
rotate,20260717,Save attempt,521,0.9898580121703854,0.9366602687140115,0.9625246548323472,493
rotate,20260717,Shot,1226,0.5103383458646616,0.4429037520391517,0.474235807860262,1064
