view,seed,group,samples,event_accuracy,event_macro_f1,time_mae_seconds,position_distance_mae_m
f80,20260715,CONTROL,48288,0.7789927104042412,0.23992697872889016,1.0649468898773193,12.311553001403809
f80,20260715,CONTESTED,43001,0.7361456710309062,0.5157308446928963,1.1036217212677002,19.28257179260254
f80,20260715,restart,5227,0.7555002869714942,0.46148549765238345,1.250453233718872,19.388954162597656
f80,20260715,switch,11820,0.6767343485617597,0.4131140341104387,1.3948214054107666,18.117128372192383
f80,20260715,boundary,5425,0.9690322580645161,0.15558387893098638,9.538753509521484,35.945255279541016
f80,20260715,long_possession,13683,0.7921508441131331,0.615182130000396,1.6621954441070557,15.743520736694336
f80,20260715,Shot,1228,0.27931596091205213,0.043666454487587526,0.7190876603126526,20.984127044677734
f80,20260715,Foul,1192,0.4429530201342282,0.061395348837209304,1.0760422945022583,38.49863815307617
f80,20260715,Interruption,4022,0.8326703132769766,0.09086962420295754,3.0139753818511963,45.98659896850586
p1,20260715,CONTROL,48288,0.7830723989396952,0.2524322891659988,1.0617512464523315,11.482367515563965
p1,20260715,CONTESTED,43001,0.739796748912816,0.5213824843464345,1.106260061264038,19.443012237548828
p1,20260715,restart,5227,0.7621962885020088,0.4687933360015917,1.2639678716659546,19.18600845336914
p1,20260715,switch,11820,0.6758037225042302,0.4184364280040181,1.3954365253448486,17.702251434326172
p1,20260715,boundary,5425,0.9701382488479263,0.16946426514540683,10.316498756408691,34.01311111450195
p1,20260715,long_possession,13683,0.7969743477307608,0.6059223337672937,1.719690203666687,15.631484985351562
p1,20260715,Shot,1228,0.3346905537459283,0.05015253203172666,0.7314883470535278,21.93546485900879
p1,20260715,Foul,1192,0.3699664429530201,0.05401102265768524,1.1374768018722534,36.49153137207031
p1,20260715,Interruption,4022,0.8535554450522128,0.09209926224010731,3.0948984622955322,45.950687408447266
p2,20260715,CONTROL,48288,0.7852882703777336,0.23561168647715544,1.0496084690093994,12.780896186828613
p2,20260715,CONTESTED,43001,0.7284481756238227,0.5107956546032425,1.102730631828308,20.241859436035156
p2,20260715,restart,5227,0.7551176583126076,0.43684955384011853,1.267835259437561,19.910018920898438
p2,20260715,switch,11820,0.6744500846023689,0.40109058094492844,1.3816972970962524,18.318208694458008
p2,20260715,boundary,5425,0.9670046082949308,0.1210574791062596,9.12137222290039,35.64120864868164
p2,20260715,long_possession,13683,0.7903968427976321,0.5968803441715701,1.5985060930252075,16.868270874023438
p2,20260715,Shot,1228,0.33794788273615634,0.0505173463177115,0.7237789034843445,23.000051498413086
p2,20260715,Foul,1192,0.34731543624161076,0.05155666251556662,1.1492856740951538,36.0250358581543
p2,20260715,Interruption,4022,0.8150174042764794,0.0898082191780822,3.086876153945923,46.0481071472168
random_p1,20260715,CONTROL,48288,0.7839628893306826,0.23892438447279912,1.0486729145050049,12.537653923034668
random_p1,20260715,CONTESTED,43001,0.6908211436943327,0.4846183442388809,1.1595603227615356,20.30339241027832
random_p1,20260715,restart,5227,0.7564568586187106,0.44952884382566405,1.238480567932129,19.986249923706055
random_p1,20260715,switch,11820,0.6761421319796954,0.4093602115860208,1.3881700038909912,18.029048919677734
random_p1,20260715,boundary,5425,0.9662672811059908,0.09828442861160588,9.511626243591309,36.49151611328125
random_p1,20260715,long_possession,13683,0.7722721625374552,0.5808401506390677,1.6729916334152222,16.593019485473633
random_p1,20260715,Shot,1228,0.2988599348534202,0.04601880877742946,0.7345990538597107,22.875568389892578
random_p1,20260715,Foul,1192,0.18959731543624161,0.03187588152327221,1.3340739011764526,37.739505767822266
random_p1,20260715,Interruption,4022,0.7797115862754849,0.08762224084939926,3.2013869285583496,46.12291717529297
random_p2,20260715,CONTROL,48288,0.7808772365805169,0.2044574065546798,1.0477527379989624,12.39948558807373
random_p2,20260715,CONTESTED,43001,0.6862165996139624,0.48860788355629275,1.1579440832138062,20.37539291381836
random_p2,20260715,restart,5227,0.7505261144059691,0.469357828224599,1.2407174110412598,19.99165153503418
random_p2,20260715,switch,11820,0.672419627749577,0.39921772785004805,1.385306477546692,17.983531951904297
random_p2,20260715,boundary,5425,0.9688479262672811,0.15297723217715706,9.783744812011719,38.08721923828125
random_p2,20260715,long_possession,13683,0.7721990791493094,0.5868000160588849,1.7039607763290405,16.628854751586914
random_p2,20260715,Shot,1228,0.30211726384364823,0.04640400250156348,0.7349570989608765,21.586362838745117
random_p2,20260715,Foul,1192,0.30453020134228187,0.04668810289389068,1.3318041563034058,38.56529235839844
random_p2,20260715,Interruption,4022,0.7682744903033317,0.08689538807649044,3.0816597938537598,45.88166427612305
f80,20260716,CONTROL,48288,0.7841492710404241,0.24261210543122252,1.0551533699035645,12.240124702453613
f80,20260716,CONTESTED,43001,0.7371921583218994,0.4983513684988911,1.0980719327926636,19.312637329101562
f80,20260716,restart,5227,0.74708245647599,0.4447872004439491,1.258725643157959,19.912137985229492
f80,20260716,switch,11820,0.682741116751269,0.4071359998822257,1.3866301774978638,17.998037338256836
f80,20260716,boundary,5425,0.967926267281106,0.14666947409339012,9.113801002502441,37.333152770996094
f80,20260716,long_possession,13683,0.797997515164803,0.6012721857424945,1.6007215976715088,16.220609664916992
f80,20260716,Shot,1228,0.2703583061889251,0.04256410256410256,0.7898016571998596,21.35201072692871
f80,20260716,Foul,1192,0.14597315436241612,0.02547584187408492,1.05318021774292,37.758609771728516
f80,20260716,Interruption,4022,0.8281949278965689,0.09060247518019857,2.949227809906006,46.102699279785156
p1,20260716,CONTROL,48288,0.7848947978793903,0.23865423352762236,1.050440788269043,11.606867790222168
p1,20260716,CONTESTED,43001,0.7354712681100439,0.5205353553305122,1.0962934494018555,19.484710693359375
p1,20260716,restart,5227,0.7535871436770614,0.4559541446876209,1.2446250915527344,19.630481719970703
p1,20260716,switch,11820,0.6836717428087986,0.4056998677198182,1.393515706062317,18.0305118560791
p1,20260716,boundary,5425,0.9697695852534562,0.1673301887664404,9.231324195861816,32.82828140258789
p1,20260716,long_possession,13683,0.7944164291456552,0.6120867049533018,1.6215808391571045,15.529372215270996
p1,20260716,Shot,1228,0.35912052117263843,0.05284601557819053,0.7811443209648132,21.350698471069336
p1,20260716,Foul,1192,0.3674496644295302,0.05374233128834356,1.2002346515655518,36.87179946899414
p1,20260716,Interruption,4022,0.864992541024366,0.09276096520463938,3.01137638092041,46.22574996948242
