configuration,seed,task,layer,relation,message_norm
pg_constant,20260715,shared,layer1,event__next__event,66.12669372558594
pg_constant,20260715,shared,layer1,event__gap_0_2s__event,60.90616226196289
pg_constant,20260715,shared,layer1,event__gap_2_5s__event,76.86354064941406
pg_constant,20260715,shared,layer1,event__gap_5_15s__event,47.64058303833008
pg_constant,20260715,shared,layer1,event__gap_15_60s__event,43.45976638793945
pg_constant,20260715,shared,layer1,event__gap_60plus__event,0.0
pg_constant,20260715,shared,layer1,event__period_break__event,0.0
pg_constant,20260715,shared,layer1,player__performs__event,82.81942749023438
pg_constant,20260715,shared,layer1,event__performed_by__player,71.36434936523438
pg_constant,20260715,shared,layer1,team__performs__event,60.21335220336914
pg_constant,20260715,shared,layer1,event__performed_by_team__team,65.00875091552734
pg_constant,20260715,shared,layer1,event__has_type__event_type,60.36116027832031
pg_constant,20260715,shared,layer1,event_type__describes__event,99.60906219482422
pg_constant,20260715,shared,layer1,event__has_tag__tag,63.84734344482422
pg_constant,20260715,shared,layer1,tag__describes__event,99.29534149169922
pg_constant,20260715,shared,layer1,event__starts_in__zone,76.1873779296875
pg_constant,20260715,shared,layer1,zone__start_of__event,90.97199249267578
pg_constant,20260715,shared,layer1,event__ends_in__zone,71.17633056640625
pg_constant,20260715,shared,layer1,zone__end_of__event,117.3930892944336
pg_constant,20260715,shared,layer1,event__belongs_to__possession,62.25640106201172
pg_constant,20260715,shared,layer1,possession__contains__event,87.30675506591797
pg_constant,20260715,shared,layer1,possession__owned_by__team,0.0
pg_constant,20260715,shared,layer1,team__has_possession__possession,0.0
pg_constant,20260715,shared,layer1,possession__next__possession,0.0
pg_constant,20260715,shared,layer2,event__next__event,127.7780532836914
pg_constant,20260715,shared,layer2,event__gap_0_2s__event,95.0867691040039
pg_constant,20260715,shared,layer2,event__gap_2_5s__event,88.8693618774414
pg_constant,20260715,shared,layer2,event__gap_5_15s__event,45.12932586669922
pg_constant,20260715,shared,layer2,event__gap_15_60s__event,30.956327438354492
