,,seed,seed,event_accuracy,event_accuracy,event_macro_f1,event_macro_f1,time_mae_seconds,time_mae_seconds,position_distance_mae_m,position_distance_mae_m,position_median_m,position_median_m,team_accuracy,team_accuracy,team_macro_f1,team_macro_f1,player_top1,player_top1,player_top3,player_top3,player_top5,player_top5,player_mrr,player_mrr,player_coverage,player_coverage,core_etp_loss,core_etp_loss
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
split,configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test,ap_task,20260716.0,1.0,0.7729847674506646,0.001930833134858484,0.6236832717204662,0.003216919524796793,1.4804058472315471,0.009155469215968775,15.837571144104004,0.3575302606297737,9.220447222391764,0.45818426958724695,0.8702686517851612,0.003538521923041574,0.8653070048734234,0.004030411949137666,0.41762973539779574,0.004851989218004916,0.6894865616587093,0.005548733082956033,0.801782606755611,0.005383103713149198,0.5835756544333324,0.004553106094693068,0.9255580564561092,0.0,0.030465200693075775,0.00017565893954404364
test,partial_l2_f80,20260716.0,1.0,0.7685416537606432,0.0019524102219807464,0.6154508613411457,0.004009002948262451,1.4923205773035686,0.007835701355937167,15.627504666646322,0.5339225356029669,8.958019574483236,0.6595160923846689,0.87095353143219,0.003086004111336313,0.8662294069486939,0.0033584547740940483,0.41439099846801425,0.0022007879875581573,0.6844406764535274,0.00319478254549925,0.79726473606711,0.0027601264739531683,0.580053617159416,0.002050774331197241,0.9255580564561092,0.0,0.030780388223093775,8.763918691044772e-05
test,pg_constant,20260716.0,1.0,0.7716115665503404,0.0004233595395043241,0.6172885084710562,0.006834923098517893,1.4920155604680378,0.0040052233587884786,15.592178662618002,0.16600447256989062,8.98480224609375,0.4016726748673306,0.8715179548598923,0.0025633013235759625,0.8672417219680072,0.0023525869548922267,0.41686002409531037,0.006314681593929615,0.687385658828254,0.003960862960127506,0.7999048086505139,0.002155598478289323,0.5823186124131613,0.004366912022157107,0.9255580564561092,0.0,0.03057442831121666,9.449258949365909e-05
test,pg_shared,20260716.0,1.0,0.7716390994004723,0.0008572916172603838,0.620975543082286,0.004182833390547807,1.4908862113952637,0.005997690621606593,15.379500071207682,0.20111615648366826,8.726027806599935,0.17112360447355504,0.8721443272003909,0.0013473921498793194,0.8678407421240261,0.001102847704841376,0.4188382193268187,0.004788577094420245,0.6881739621911859,0.0012836925800011113,0.8013326788928056,0.0022944651543434723,0.583678974901392,0.00310449267501056,0.9255580564561092,0.0,0.030561410266229563,0.0002244619247821642
test,pg_task,20260716.0,1.0,0.7727576214370772,0.0017768690187832659,0.6222368082846411,0.0031549603175259396,1.487205982208252,0.008507628943248274,15.424284934997559,0.43338206424875125,8.83190663655599,0.3863682684484758,0.8717210096296144,0.0023179697265230375,0.8675841912563435,0.002807478594198706,0.4141083991492273,0.002477475595273801,0.6860804961849092,0.004892610833984758,0.8002506209748189,0.004970660292037549,0.5803978497645055,0.0029968756772321965,0.9255580564561092,0.0,0.03043965556026416,0.0002733104865829564
validation_guarded_core,ap_task,20260716.0,1.0,0.7719755116959064,0.003784318053706005,0.6140622738399532,0.003559409556928803,1.4189116557439168,0.009956325630754352,16.276262283325195,0.2362385168427952,9.613191604614258,0.3348561382852505,0.8646747076023392,0.0029085880925433247,0.8607074409750356,0.003272738115526772,0.41315880807179334,0.005068918803761023,0.6850612325846597,0.006128024019229644,0.7992463681888046,0.006398259866424758,0.5793238662172568,0.004782720622187446,0.9214638157894738,0.0,0.0304318400568258,0.00017178159164463753
validation_guarded_core,partial_l2_f80,20260716.0,1.0,0.7678179824561404,0.0027988730614942623,0.607320490131792,0.010211668864371966,1.4236137469609578,0.01175974523356139,16.106922149658203,0.4669827875266856,9.344757715861002,0.6332570046127826,0.8658625730994153,0.002232600826547986,0.8620411056690437,0.00238381923071877,0.4118201199861173,0.0026787530684198447,0.6818880460112053,0.0031809241771720183,0.7943874262482028,0.005198212076783675,0.5771602083279489,0.002216975108002405,0.9214638157894738,0.0,0.030697433637422427,0.0002900861429815403
validation_guarded_core,pg_constant,20260716.0,1.0,0.7736659356725145,0.0010287216967468952,0.6113757738428609,0.006471875658471193,1.4227104187011719,0.009673797348956055,16.05198097229004,0.2550774397256537,9.502931276957193,0.34468930563708694,0.8649488304093568,0.0031623286697135015,0.8614916085648773,0.0027705622338321328,0.4142495909564183,0.0052102572923209715,0.6830779909762507,0.003300399472585153,0.7942882641677822,0.0026773761713520805,0.5791234478662918,0.003644343676643648,0.9214638157894738,0.0,0.03043228152551149,0.00015321588594618832
validation_guarded_core,pg_shared,20260716.0,1.0,0.7709703947368421,0.0015076754385964508,0.6099271026831176,0.004720326793998728,1.4135028918584187,0.004761084259146303,15.850335121154785,0.2095362410236921,9.225152969360352,0.1340079919927009,0.8649031432748538,0.0026447287350888663,0.8613752020539573,0.0025406206833077545,0.4148941444791512,0.004047161552311466,0.6881848381179037,0.00438813214272901,0.7996925975506967,0.004085249056495429,0.5815535720642868,0.003229196473494012,0.9214638157894738,0.0,0.030442614326177286,0.00029107250621237087
